,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
37,Illapel,0,CL,1535209842,80,-31.63,-71.17,56.87,4.16
38,Saint-Augustin,90,FR,1535209200,56,44.83,-0.61,69.8,12.75
39,Goreloye,0,RU,1535209843,31,52.92,41.5,78.11,3.49
40,Jamestown,0,AU,1535209843,80,-33.21,138.6,36.71,2.59
41,Half Moon Bay,90,US,1535208000,93,37.46,-122.43,60.98,9.17
42,Corbelia,20,BR,1535205600,62,-24.8,-53.31,53.6,11.41
43,Cherskiy,80,RU,1535209844,99,68.75,161.3,35.0,7.18
44,Nikolskoye,75,RU,1535207400,73,59.7,30.79,69.8,8.95
45,Chuy,8,UY,1535209845,79,-33.69,-53.46,53.45,30.67
46,Remedios,20,CU,1535205060,88,22.5,-79.55,78.8,6.93
47,Arraial do Cabo,75,BR,1535205600,69,-22.97,-42.02,78.8,11.41
48,Muttupet,92,IN,1535209846,100,10.4,79.48,77.12,6.06
49,Flin Flon,90,CA,1535205600,93,54.77,-101.88,46.4,8.05
50,Kaitangata,0,NZ,1535209846,73,-46.28,169.85,46.07,16.46
51,Biak,88,ID,1535209847,96,-0.91,122.88,77.12,3.15
52,New Norfolk,0,AU,1535207400,70,-42.78,147.06,48.2,6.93
53,Manoel Urbano,0,BR,1535209847,65,-8.84,-69.26,87.92,2.93
54,Outlook,44,CA,1535209548,88,51.48,-107.04,50.75,11.21
55,Jinchang,0,CN,1535209833,88,38.52,102.19,55.79,2.59
56,Mar del Plata,8,AR,1535209848,52,-46.43,-67.52,56.78,17.58
57,Saskylakh,0,RU,1535209848,88,71.97,114.09,45.98,7.18
58,Lagoa,0,PT,1535207400,58,37.14,-8.45,82.4,9.17
59,Vagur,80,FO,1535209849,100,61.47,-6.81,51.11,12.55
60,Yellowknife,75,CA,1535205600,81,62.45,-114.38,48.2,5.82
61,Ndjole,36,GA,1535209850,79,-0.18,10.76,81.98,3.94
62,Tanete,24,ID,1535209850,88,-3.94,119.78,74.33,5.95
63,Naryan-Mar,8,RU,1535209850,61,67.67,53.09,57.95,13.67
64,Laguna,20,MX,1535204520,88,27.52,-110.01,80.6,3.38
65,Southbridge,1,US,1535208960,68,42.08,-72.03,75.92,4.7
66,Bredasdorp,0,ZA,1535205600,28,-34.53,20.04,71.6,17.22
67,Cambrils,20,ES,1535207400,54,41.07,1.07,80.6,9.17
68,Geraldton,90,CA,1535205600,100,49.72,-86.95,60.8,5.82
69,Carlos Antonio Lopez,0,PY,1535209852,57,-26.4,-54.77,58.67,3.71
70,Yerbogachen,56,RU,1535209852,91,61.28,108.01,52.19,2.48
71,Kontagora,100,NG,1535209852,95,10.4,5.47,76.04,12.1
72,Mount Gambier,80,AU,1535209852,81,-37.83,140.78,41.48,4.38
73,Atuona,12,PF,1535209754,100,-9.8,-139.03,78.65,17.58
74,Kaka,0,TM,1535209853,43,37.35,59.62,69.65,3.6
75,Merauke,92,ID,1535209853,94,-8.49,140.4,76.85,9.75
76,Kahului,90,US,1535207220,94,20.89,-156.47,75.92,18.34
77,Kodiak,1,US,1535208780,79,39.95,-94.76,80.96,10.29
78,Esperance,40,TT,1535205600,70,10.24,-61.45,86.0,16.11
79,Conceicao do Araguaia,0,BR,1535209605,36,-8.26,-49.26,92.78,8.75
80,Albany,75,US,1535208840,63,42.65,-73.75,75.2,8.05
81,Grand Gaube,40,MU,1535205600,69,-20.01,57.66,73.4,11.41
82,Port Lincoln,0,AU,1535209855,100,-34.72,135.86,48.05,3.49
83,Tiksi,0,RU,1535209855,98,71.64,128.87,40.22,7.63
84,Dingle,80,PH,1535209856,82,11.0,122.67,79.28,6.06
85,Zhangjiakou,68,CN,1535209856,98,40.77,114.88,60.29,2.71
86,Zabaykalsk,92,CN,1535209856,64,49.64,117.33,64.52,4.94
87,Ponta do Sol,68,BR,1535209791,91,-20.63,-46.0,68.93,3.04
88,Caravelas,0,BR,1535209624,98,-17.73,-39.27,76.49,9.53
89,Thompson,90,CA,1535207460,100,55.74,-97.86,44.6,11.41
90,Surt,24,LY,1535209841,75,31.21,16.59,85.4,9.53
91,Chake Chake,24,TZ,1535209857,95,-5.25,39.77,78.29,16.46
92,Qaanaaq,0,GL,1535209857,99,77.48,-69.36,36.44,3.94
93,Puerto Ayora,75,EC,1535205600,69,-0.74,-90.35,73.4,10.29
94,Victoria,75,BN,1535207400,83,5.28,115.24,82.4,3.6
95,Provideniya,92,RU,1535209858,100,64.42,-173.23,46.52,8.52
96,Ayan,80,TR,1535209839,26,40.67,33.6,83.15,0.69
97,Kloulklubed,75,PW,1535205000,94,7.04,134.26,75.2,3.36
98,Quirinopolis,76,BR,1535209859,62,-18.45,-50.45,81.08,3.38
99,Torbay,90,CA,1535205600,68,47.66,-52.73,69.8,16.11
100,Sisimiut,88,GL,1535209860,73,66.94,-53.67,43.28,9.42
101,Shakawe,12,BW,1535209860,12,-18.36,21.84,92.06,7.4
102,Yining,88,CN,1535209861,68,29.04,114.56,77.48,6.4
103,Moron,48,VE,1535209861,72,10.49,-68.2,80.63,3.38
104,Chapais,90,CA,1535205600,72,49.78,-74.86,66.2,9.17
105,Hofn,56,IS,1535209861,100,64.25,-15.21,45.71,5.73
106,Hobart,0,AU,1535207400,70,-42.88,147.33,48.2,6.93
107,Garowe,32,SO,1535209862,35,8.41,48.48,89.0,17.81
108,San Cristobal,75,EC,1535205600,81,-0.39,-78.55,51.8,16.11
109,Bambous Virieux,40,MU,1535205600,69,-20.34,57.76,73.4,11.41
110,Mount Isa,0,AU,1535207400,34,-20.73,139.49,53.6,9.75
111,Salalah,90,OM,1535205000,100,17.01,54.1,73.4,2.24
112,San Pedro,0,AR,1535209865,62,-33.68,-59.66,53.18,8.97
113,Namuac,92,PH,1535209866,96,18.61,121.17,78.92,10.42
114,Kanniyakumari,68,IN,1535209800,95,8.08,77.57,78.47,21.05
115,Vila,75,IT,1535206800,73,45.18,8.4,75.2,9.17
116,Baripada,88,IN,1535209867,98,21.93,86.73,76.31,2.48
117,Pevek,88,RU,1535209867,100,69.7,170.27,35.09,10.42
118,Xam Nua,80,LA,1535209867,91,20.42,104.04,69.38,1.7
119,Lebu,75,ET,1535205600,72,8.96,38.73,62.6,6.93
120,Faanui,88,PF,1535209868,100,-16.48,-151.75,79.82,10.09
121,Warri,100,NG,1535209653,91,5.52,5.75,79.64,9.19
122,Goderich,100,CA,1535209677,89,43.74,-81.71,70.82,17.69
123,Atar,0,MR,1535209796,14,20.52,-13.05,110.33,9.53
124,Tecoanapa,40,MX,1535204820,83,16.99,-99.26,78.8,3.36
125,Dunedin,0,NZ,1535209815,80,-45.87,170.5,32.12,1.48
126,Victor Harbor,0,AU,1535207400,75,-35.55,138.62,44.6,3.36
127,Qaqortoq,75,GL,1535208600,75,60.72,-46.03,46.4,13.78
128,Bilibino,92,RU,1535209870,98,68.06,166.44,34.1,2.93
129,Muros,20,ES,1535209200,56,42.77,-9.06,71.6,11.41
130,Abeche,40,TD,1535205600,85,13.83,20.83,84.2,4.7
131,Abu Kamal,0,SY,1535209871,10,34.45,40.92,103.58,8.75
132,Kiunga,92,PG,1535209871,95,-6.12,141.3,73.07,2.37
133,Puerto del Rosario,0,ES,1535209200,58,28.5,-13.86,91.4,17.22
134,Pedernales,12,EC,1535209872,89,0.07,-80.05,76.49,6.17
135,Georgetown,75,GY,1535205600,70,6.8,-58.16,86.0,11.41
136,Atasu,64,KZ,1535209873,55,48.68,71.64,56.69,6.17
137,Santa Vitoria,8,BR,1535209873,58,-7.82,-67.03,89.36,3.71
138,Gimli,36,CA,1535209596,95,50.63,-96.99,67.58,10.42
139,Los Llanos de Aridane,20,ES,1535209200,69,28.66,-17.92,78.8,12.75
140,San Patricio,0,PY,1535209784,70,-26.98,-56.83,59.03,3.6
141,Tim,0,RU,1535209875,23,51.62,37.12,80.45,5.39
142,Ribeira Grande,75,PT,1535207400,69,38.52,-28.7,77.0,6.93
143,Am Timan,80,TD,1535209930,82,11.04,20.28,79.82,12.55
144,Tuktoyaktuk,40,CA,1535205600,93,69.44,-133.03,39.2,4.7
145,Santa Fe,0,AR,1535209835,67,-31.62,-60.7,55.7,5.17
146,Katsuura,0,JP,1535209876,85,33.93,134.5,77.57,4.61
147,Carnarvon,0,ZA,1535209877,16,-30.97,22.13,61.01,20.27
148,Port Alfred,0,ZA,1535209877,63,-33.59,26.89,71.36,8.63
149,Chokurdakh,68,RU,1535209762,90,70.62,147.9,39.68,6.17
150,Sept-Iles,75,CA,1535205600,77,50.2,-66.38,60.8,4.7
151,Henties Bay,0,NA,1535209877,86,-22.12,14.28,59.21,13.78
152,North Platte,1,US,1535208780,68,41.12,-100.77,73.04,4.7
153,Harda,92,IN,1535209878,92,22.34,77.09,76.49,8.08
154,Ossora,0,RU,1535209878,100,59.24,163.07,45.62,3.6
155,Jiazi,20,CN,1535205600,88,19.61,110.49,80.6,6.71
156,Saldanha,0,PT,1535209879,32,41.42,-6.55,83.24,3.71
157,Vestmanna,80,FO,1535208600,81,62.16,-7.17,50.0,5.82
158,Kisangani,12,CD,1535209879,91,0.52,25.21,75.86,2.37
159,Stokmarknes,75,NO,1535205000,87,68.56,14.91,53.6,14.99
160,Pervomayskiy,0,RU,1535209880,23,53.24,40.29,79.46,4.38
161,Hami,56,CN,1535209881,38,42.84,93.51,73.79,3.71
162,Severo-Kurilsk,32,RU,1535209801,100,50.68,156.12,47.42,4.72
163,Mana,20,RS,1535207400,45,43.52,20.24,86.0,3.36
164,Lima,8,PE,1535209881,79,-12.06,-77.04,64.88,2.15
165,Azovo,75,RU,1535207400,87,54.7,73.03,55.4,2.24
166,Sampit,36,ID,1535209882,84,-2.54,112.95,77.57,6.62
167,Sao Felix do Xingu,0,BR,1535209882,44,-6.64,-51.99,92.51,2.71
168,Clyde River,90,CA,1535205600,93,70.47,-68.59,37.4,28.86
169,Sakaraha,68,MG,1535209883,30,-22.91,44.53,77.39,3.71
170,Guerrero Negro,0,MX,1535209883,93,27.97,-114.04,70.37,7.63
171,Umm Lajj,0,SA,1535209883,61,25.02,37.27,94.13,13.78
172,Biltine,36,TD,1535209884,96,14.53,20.93,78.38,4.61
173,Lompoc,90,US,1535207880,93,34.64,-120.46,62.96,5.82
174,Nangomba,12,TZ,1535209905,42,-10.9,38.52,81.8,8.41
175,Vuktyl,0,RU,1535209906,68,63.86,57.31,58.67,4.16
176,Port Blair,88,IN,1535209681,99,11.67,92.75,81.71,24.29
177,Luxor,0,EG,1535205600,21,25.7,32.65,105.8,5.82
178,Uyo,88,NG,1535209910,97,5.03,7.92,77.39,7.74
179,Alice Springs,0,AU,1535207400,42,-23.7,133.88,44.6,4.7
180,Kaeo,36,NZ,1535209910,96,-35.1,173.78,47.78,6.96
181,Butaritari,0,KI,1535209911,100,3.07,172.79,83.78,3.38
182,Riyadh,0,SA,1535205600,7,24.63,46.72,109.4,11.41
183,Dikson,44,RU,1535209661,93,73.51,80.55,50.12,7.07
184,Talcahuano,0,CL,1535205600,71,-36.72,-73.12,50.0,5.82
185,Abu Samrah,0,SY,1535209913,19,35.3,37.18,95.48,15.57
186,Watsa,64,CD,1535209913,80,3.04,29.53,75.95,4.5
187,Necochea,12,AR,1535209913,81,-38.55,-58.74,51.11,12.66
188,Satao,0,PT,1535209914,39,40.74,-7.73,81.35,3.15
189,Yenagoa,88,NG,1535209914,93,4.92,6.26,77.84,9.98
190,Leningradskiy,92,RU,1535209776,100,69.38,178.42,36.62,10.76
191,Camacha,40,PT,1535207400,69,33.08,-16.33,78.8,14.99
192,Zhigalovo,0,RU,1535209919,89,54.81,105.15,50.12,2.04
193,Smithers,75,CA,1535205600,93,54.78,-127.17,50.0,2.24
194,Cockburn Town,76,TC,1535209706,94,21.46,-71.14,84.5,19.15
195,Devils Lake,1,US,1535208960,77,48.11,-98.87,62.96,14.99
196,Rovigo,40,IT,1535206800,73,45.07,11.79,78.8,5.82
197,Tasiilaq,75,GL,1535208600,75,65.61,-37.64,41.0,13.87
198,Mount Pleasant,1,US,1535208960,59,33.16,-94.97,86.0,9.17
199,Tuatapere,0,NZ,1535209922,95,-46.13,167.69,49.76,19.15
200,Belaya Gora,32,RU,1535209922,87,68.54,146.19,39.05,3.94
201,Northam,20,GB,1535208600,42,51.04,-4.21,66.2,10.29
202,Valleyview,64,CA,1535209925,93,55.07,-117.28,50.03,8.75
203,Leh,8,IN,1535209782,69,34.16,77.58,38.33,1.7
204,Ugoofaaru,32,MV,1535209927,100,5.67,73.0,82.97,10.54
205,Tarnogskiy Gorodok,0,RU,1535209931,68,60.5,43.58,70.28,7.4
206,Uhlove,8,UA,1535209931,83,44.82,33.6,78.29,5.06
207,Nouadhibou,0,MR,1535205600,51,20.93,-17.03,84.2,17.22
208,Roald,75,NO,1535208600,67,62.58,6.12,57.2,11.41
209,Dawlatabad,0,AF,1535209932,28,36.41,64.91,79.73,8.52
210,Iwanai,92,JP,1535209932,97,42.97,140.51,69.02,18.81
211,Itaiba,0,BR,1535209932,44,-8.95,-37.42,85.85,11.43
212,Rocha,12,UY,1535209933,75,-34.48,-54.34,49.58,23.51
213,Adrar,0,DZ,1535205600,14,27.87,-0.29,105.8,14.99
214,Vila Franca do Campo,75,PT,1535207400,69,37.72,-25.43,75.2,5.82
215,Luderitz,0,NA,1535209876,80,-26.65,15.16,57.05,3.94
216,Klaksvik,88,FO,1535208600,81,62.23,-6.59,50.0,5.82
217,Marovoay,20,MG,1535205600,61,-16.11,46.64,80.6,6.93
218,Tekeli,0,KZ,1535209934,42,44.86,78.76,61.73,4.16
219,Tabuk,92,PH,1535209934,92,17.41,121.44,69.56,1.92
220,Katubao,44,PH,1535209935,100,5.89,124.83,72.35,1.7
221,Buraydah,0,SA,1535205600,18,26.33,43.97,107.6,3.36
222,Hervey Bay,92,AU,1535209936,88,-25.3,152.85,66.77,12.44
223,Harrisburg,40,US,1535208960,59,40.27,-76.89,75.92,3.36
224,Aransas Pass,75,US,1535208960,66,27.91,-97.15,88.16,8.05
225,Kushima,92,JP,1535209937,99,31.5,131.29,79.37,10.09
226,Sao Joao da Barra,20,BR,1535205600,51,-21.64,-41.05,82.4,6.93
227,Charters Towers,68,AU,1535209937,93,-20.07,146.27,62.63,5.61
228,Mahebourg,40,MU,1535205600,69,-20.41,57.7,73.4,11.41
229,Richards Bay,20,ZA,1535209938,64,-28.77,32.06,76.58,13.0
230,Jiujiang,56,CN,1535209938,79,29.73,115.99,78.11,15.12
231,Manaus,40,BR,1535209200,66,-3.13,-59.98,89.6,6.93
232,Fort Nelson,90,CA,1535209200,100,58.81,-122.69,48.2,5.82
233,Zhengjiatun,92,CN,1535209939,97,43.51,123.51,62.54,12.66
234,Paracuru,20,BR,1535209200,55,-3.41,-39.03,87.8,17.22
235,Praia da Vitoria,20,PT,1535205600,73,38.73,-27.07,77.0,11.54
236,Aklavik,75,CA,1535205600,100,68.22,-135.01,41.0,4.7
237,Tiznit,0,MA,1535209866,83,29.7,-9.73,80.0,5.06
238,Micheweni,68,TZ,1535209858,100,-4.97,39.83,77.57,16.24
239,Taoudenni,0,ML,1535209940,13,22.68,-3.98,112.13,8.75
240,Keti Bandar,80,PK,1535209940,97,24.14,67.45,80.54,16.58
241,Poroshkovo,56,UA,1535207400,51,48.67,22.75,82.4,2.24
242,Waipawa,0,NZ,1535209941,81,-39.94,176.59,32.84,5.17
243,Avarua,20,CK,1535205600,94,-21.21,-159.78,69.8,6.93
244,Lauf,75,DE,1535209200,72,48.65,8.13,60.8,12.75
245,Cabras,12,CO,1535209942,80,5.5,-75.6,67.04,1.48
246,La Ronge,90,CA,1535205600,100,55.1,-105.3,42.8,5.82
247,Lazarevac,40,RS,1535207400,45,44.38,20.26,86.0,11.41
248,Kungurtug,20,RU,1535209943,73,50.6,97.53,44.27,2.15
249,Kafanchan,92,NG,1535209943,93,9.58,8.3,71.81,5.95
250,Richmond,1,CA,1535208900,93,49.16,-123.14,57.92,13.87
251,General Roca,0,AR,1535205600,52,-39.03,-67.58,46.4,5.82
252,Kyrylivka,0,UA,1535209944,25,47.65,37.3,83.06,9.64
253,Hilo,90,US,1535205180,96,19.71,-155.08,73.04,6.93
254,Graaff-Reinet,0,ZA,1535209945,17,-32.25,24.53,72.26,13.22
255,Kamaishi,8,JP,1535209945,73,39.28,141.86,76.4,5.95
256,Vardo,1,US,1535208900,68,39.62,-77.74,75.2,5.82
257,Las Cruces,0,CL,1535209200,45,-33.5,-71.62,68.0,4.05
258,Dordrecht,20,NL,1535208900,77,51.8,4.68,59.0,9.17
259,Ixtapa,75,MX,1535204580,100,20.71,-105.21,75.2,6.93
260,Anadyr,90,RU,1535205600,100,64.73,177.51,48.2,8.95
261,Hithadhoo,80,MV,1535209770,100,-0.6,73.08,81.26,4.16
262,Paamiut,0,GL,1535209947,99,61.99,-49.67,42.92,8.52
263,Selma,1,US,1535207700,82,36.57,-119.61,64.04,4.7
264,Constitucion,20,MX,1535205060,77,23.99,-104.67,59.0,3.04
265,Kudahuvadhoo,44,MV,1535209948,100,2.67,72.89,82.88,6.62
266,Isangel,68,VU,1535209948,100,-19.55,169.27,72.17,17.13
267,Price,1,US,1535208780,52,39.6,-110.81,64.94,3.36
268,Mingguang,32,CN,1535209948,79,32.78,118.01,77.84,10.98
269,Harper,1,US,1535208900,51,30.3,-99.24,80.96,14.99
270,Pozo Colorado,0,PY,1535209949,55,-23.49,-58.8,63.62,12.44
271,Bara,80,NG,1535209949,85,10.41,10.6,77.48,11.21
272,Tabas,0,IR,1535209950,19,33.6,56.92,87.29,6.17
273,Tadine,92,NC,1535209950,98,-21.55,167.88,69.92,14.0
274,Jijiga,64,ET,1535209951,74,9.35,42.8,67.22,3.6
275,El Retorno,36,CO,1535209951,73,2.33,-72.63,82.52,2.93
276,Bethel,92,US,1535209948,96,60.79,-161.76,49.76,8.41
277,Sorland,92,NO,1535209952,100,67.67,12.69,52.82,15.01
278,Kuytun,0,RU,1535209879,73,54.34,101.51,60.29,5.39
279,Natal,40,BR,1535209200,55,-5.81,-35.21,86.0,20.8
280,Cidreira,12,BR,1535209795,81,-30.17,-50.22,53.9,25.75
281,Black River,40,JM,1535205600,70,18.03,-77.85,86.0,13.87
282,Nome,1,US,1535208900,59,30.04,-94.42,87.98,5.82
283,Trinidad,75,UY,1535205600,81,-33.52,-56.9,48.2,28.86
284,Emerald,100,AU,1535209953,91,-23.53,148.16,60.74,9.53
285,Grand-Lahou,92,CI,1535209954,100,5.24,-5.0,74.42,7.4
286,Touros,8,BR,1535209954,74,-5.2,-35.46,82.88,16.58
287,Senno,40,RU,1535205600,88,57.76,27.95,66.2,4.47
288,Sohag,0,EG,1535209955,24,26.55,31.7,97.19,11.77
289,Englehart,90,CA,1535205600,82,47.82,-79.87,66.2,5.82
290,Nantucket,1,US,1535207700,57,41.28,-70.1,75.2,5.82
291,Komsomolskiy,0,RU,1535209955,63,67.55,63.78,53.27,7.4
292,Nuuk,75,GL,1535208600,65,64.17,-51.74,46.4,14.99
293,Kindu,20,CD,1535209959,79,-2.95,25.92,77.66,2.59
294,Ulladulla,48,AU,1535205600,100,-35.36,150.48,50.0,8.05
295,Vao,92,EE,1535209959,69,59.1,26.19,65.96,4.05
296,Ewa Beach,75,US,1535205300,84,21.32,-158.01,78.08,6.93
297,Salinas,90,US,1535207700,93,36.67,-121.66,57.92,3.15
298,Mezen,0,RU,1535209960,61,65.85,44.24,64.79,9.42
299,Esna,0,RO,1535209960,44,45.2,27.57,85.94,2.37
300,Talnakh,92,RU,1535209961,88,69.49,88.39,52.37,1.7
301,Viedma,0,AR,1535209961,47,-40.81,-62.99,53.9,9.19
302,Gumdag,0,TM,1535209961,23,39.2,54.59,90.26,4.61
303,Abu Dhabi,0,AE,1535205600,67,24.47,54.37,98.6,10.29
304,Zhigansk,0,RU,1535209962,66,66.77,123.37,51.38,6.06
305,Tres Arroyos,0,AR,1535209962,66,-38.38,-60.28,51.29,10.09
306,Almaznyy,0,RU,1535209962,21,48.03,40.04,80.27,9.08
307,Acapulco,40,MX,1535204820,83,16.86,-99.88,78.8,3.36
308,Nanortalik,12,GL,1535209768,100,60.14,-45.24,42.38,14.45
309,Yulara,0,AU,1535205600,42,-25.24,130.99,46.4,4.7
310,Bandipur,76,IN,1535209963,84,11.67,76.63,69.92,1.92
311,Jaciara,24,BR,1535209963,50,-15.95,-54.98,82.88,10.65
312,Boende,56,CD,1535209963,77,-0.28,20.88,79.37,2.71
313,Naze,75,NG,1535205600,70,5.43,7.07,86.0,11.41
314,Wiang Sa,40,TH,1535209200,94,8.64,99.37,77.0,2.24
315,Utuado,5,PR,1535208600,66,18.27,-66.7,86.0,14.99
316,Owando,12,CG,1535209965,61,-0.49,15.91,86.57,3.04
317,Moerai,44,PF,1535209965,96,-22.43,-151.33,75.14,13.22
318,Hambantota,56,LK,1535209773,93,6.12,81.12,81.89,17.13
319,East London,0,ZA,1535205600,33,-33.02,27.91,77.0,6.93
320,Taguatinga,0,BR,1535205600,26,-15.83,-48.06,82.4,11.41
321,Gigmoto,88,PH,1535209937,97,13.78,124.39,83.15,13.67
322,Kikinda,0,RS,1535208300,43,45.83,20.46,89.6,10.29
323,Hualmay,24,PE,1535209953,73,-11.1,-77.61,65.51,4.5
324,Collie,76,AU,1535209967,79,-33.36,116.15,52.73,7.4
325,Airai,76,TL,1535209817,93,-8.93,125.41,68.75,2.04
326,Ilulissat,75,GL,1535208600,81,69.22,-51.1,42.8,6.93
327,Cabo San Lucas,5,MX,1535204700,73,22.89,-109.91,75.2,6.17
328,Fortuna,0,ES,1535209200,41,38.18,-1.13,93.2,13.87
329,Buala,88,SB,1535209968,99,-8.15,159.59,78.92,6.06
330,Roebourne,0,AU,1535209968,74,-20.77,117.15,52.37,3.94
331,San Andres,80,PH,1535209787,96,13.32,122.68,83.78,21.72
332,Bintulu,75,MY,1535209200,88,3.17,113.03,80.6,3.36
333,Pisco,90,PE,1535205600,30,-13.71,-76.2,71.6,3.36
334,Boguchany,48,RU,1535209969,89,58.38,97.46,58.4,2.71
335,Thinadhoo,8,MV,1535209970,100,0.53,72.93,82.43,5.06
336,Yar-Sale,48,RU,1535209970,81,66.83,70.83,56.96,21.16
337,Kiamba,44,PH,1535209970,100,5.99,124.62,72.35,1.7
338,Nuevo Progreso,40,US,1535208900,63,26.05,-97.95,89.96,12.75
339,Koppang,8,NO,1535209971,73,61.57,11.04,49.58,3.38
340,Papillion,1,US,1535208960,91,41.15,-96.04,76.64,4.5
341,Coihaique,75,CL,1535205600,76,-45.58,-72.07,48.2,10.29
342,Nenjiang,92,CN,1535209972,90,49.17,125.23,63.98,6.17
343,Turukhansk,92,RU,1535209972,73,65.8,87.96,57.59,8.75
344,Rio Pardo de Minas,0,BR,1535209972,46,-15.62,-42.55,79.82,6.62
345,Norman Wells,75,CA,1535205600,93,65.28,-126.83,48.2,3.36
346,San Jose,92,PH,1535209897,99,15.79,120.99,71.36,1.92
347,Mpika,0,ZM,1535209974,20,-11.84,31.4,76.85,9.64
348,Soyo,0,AO,1535209974,51,-6.13,12.37,84.5,7.63
349,Sao Filipe,0,CV,1535209974,88,14.9,-24.5,81.8,6.73
350,San Vicente,0,SV,1535205000,88,13.64,-88.78,80.6,6.93
351,Palauig,92,PH,1535209831,100,15.44,119.9,73.25,8.08
352,Bethanien,0,NA,1535209976,9,-26.5,17.16,73.34,16.02
353,Merke,0,KZ,1535209976,70,42.87,73.19,46.16,1.92
354,Moose Factory,90,CA,1535205600,93,51.26,-80.61,55.4,4.7
355,Barcelos,0,PT,1535207400,53,41.53,-8.62,75.2,10.29
356,Jurm,64,AF,1535209977,71,36.86,70.83,44.09,0.92
357,Beihai,20,CN,1535207400,73,38.95,121.19,75.2,2.24
358,Ketchikan,90,US,1535208960,86,55.34,-131.65,57.02,11.41
359,Baykit,68,RU,1535209978,93,61.68,96.39,49.67,2.59
360,North Battleford,90,CA,1535207100,87,52.78,-108.3,46.4,12.75
361,Helong,92,CN,1535209978,98,25.94,116.13,70.64,2.71
362,Sitka,12,US,1535209957,79,37.17,-99.65,75.5,7.07
363,Puerto Escondido,40,MX,1535204580,73,15.86,-97.07,75.2,5.82
364,Bathsheba,40,BB,1535205600,66,13.22,-59.52,86.0,17.22
365,Thyboron,48,DK,1535209952,95,56.7,8.21,58.67,13.22
366,Qujing,68,CN,1535209979,85,25.49,103.8,63.98,5.39
367,Iqaluit,90,CA,1535205600,93,63.75,-68.52,39.2,6.93
368,Tabou,92,CI,1535209980,100,4.42,-7.36,77.75,16.13
369,Mackay,90,CA,1535209200,100,53.65,-115.58,42.8,3.49
370,Namibe,0,AO,1535209980,100,-15.19,12.15,65.24,12.44
371,Amurzet,100,CN,1535209981,98,47.69,131.09,60.56,5.17
372,Gizo,20,IL,1535206800,58,31.8,34.94,86.0,10.29
373,Mayo,75,CA,1535206860,100,63.59,-135.9,46.4,4.7
374,Barmer,88,IN,1535209981,61,25.74,71.4,87.29,12.77
