,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,Imbituba,0,BR,1535000400,100,-28.24,-48.67,57.2,4.7
142,Kodiak,1,US,1534999980,100,39.95,-94.76,60.98,5.06
143,Suamico,1,US,1535002500,81,44.63,-88.04,62.96,3.36
144,Champerico,44,MX,1535003051,86,16.38,-93.6,72.94,3.71
145,Otane,20,NZ,1535003051,89,-39.89,176.62,41.53,6.06
146,Lovozero,8,RU,1535003051,68,68.01,35.02,51.88,3.15
147,Quatre Cocos,40,MU,1535000400,61,-20.21,57.76,77.0,11.41
148,Samarai,68,PG,1535003051,100,-10.62,150.67,77.8,13.44
149,Butaritari,36,KI,1535003052,100,3.07,172.79,82.84,8.97
150,Zapolyarnyy,20,RU,1535001600,87,69.43,30.82,48.2,9.17
151,Narsaq,56,GL,1534999800,65,60.91,-46.05,41.0,2.24
152,Avarua,0,CK,1535003053,100,-21.21,-159.78,73.93,16.46
153,Pisco,90,PE,1535000400,77,-13.71,-76.2,62.6,2.24
154,Chadiza,0,ZM,1535003053,54,-14.06,32.43,68.08,8.63
155,Chuy,44,UY,1535003053,90,-33.69,-53.46,42.34,2.26
156,Parana,0,BR,1535000400,100,-7.52,-72.89,68.0,2.24
157,Yerbogachen,12,RU,1535003054,69,61.28,108.01,61.06,4.16
158,Mount Isa,0,AU,1535000400,12,-20.73,139.49,86.0,11.41
159,Manicore,44,BR,1535002798,88,-5.81,-61.3,75.46,2.26
160,Cairns,20,AU,1535000400,57,-16.92,145.77,77.0,11.41
161,Inongo,92,CD,1535003055,90,-1.93,18.29,73.12,3.38
162,Ouargaye,88,BF,1535003055,98,11.5,0.06,70.51,3.6
163,Ponta Delgada,20,PT,1535002200,82,37.73,-25.67,68.0,4.7
164,Kozhevnikovo,44,RU,1535003056,75,56.26,83.98,61.6,9.75
165,Itacoatiara,68,BR,1535002916,74,-3.14,-58.44,78.88,2.59
166,Kholmogory,0,RU,1535000400,81,64.23,41.65,53.6,4.47
167,San Patricio,0,PY,1535002779,89,-26.98,-56.83,39.64,2.59
168,Erenhot,24,CN,1535003056,40,43.65,111.97,82.84,4.38
169,Surt,0,LY,1535003056,97,31.21,16.59,79.96,5.73
170,Byron Bay,40,AU,1535002200,49,-28.65,153.62,68.0,10.29
171,Roald,75,NO,1535001600,71,62.58,6.12,55.4,5.82
172,Qaanaaq,92,GL,1535003057,100,77.48,-69.36,35.59,4.05
173,Katsuura,75,JP,1535000400,66,33.93,134.5,87.8,17.22
174,Xapuri,0,BR,1535003058,91,-10.65,-68.5,64.21,3.15
175,Faanui,36,PF,1535003058,100,-16.48,-151.75,78.34,18.14
176,East London,0,ZA,1535000400,57,-33.02,27.91,51.8,4.7
177,Nyurba,48,RU,1535003058,75,63.29,118.35,62.86,3.94
178,Victor Harbor,0,AU,1535000400,17,-35.55,138.62,66.2,16.11
179,Tsabong,0,BW,1535003059,39,-26.02,22.4,39.73,3.6
180,Sechura,12,PE,1535003059,92,-5.56,-80.82,63.94,10.76
181,Ranong,75,TH,1535000400,100,9.96,98.62,80.6,6.93
182,Micheweni,48,TZ,1535003059,100,-4.97,39.83,77.08,13.33
183,Meadow Lake,0,CA,1535003060,83,54.13,-108.44,57.46,3.27
184,Kuldur,80,RU,1535003060,76,49.22,131.63,70.33,3.27
185,Sao Joao do Piaui,0,BR,1535003060,64,-8.36,-42.25,72.94,13.22
186,Lahaina,90,US,1535000160,84,20.87,-156.68,80.06,21.92
187,Pevek,0,RU,1535003061,94,69.7,170.27,46.3,11.99
188,Hofn,48,IS,1535003061,100,64.25,-15.21,47.2,3.15
189,Mahebourg,40,MU,1535000400,61,-20.41,57.7,77.0,11.41
190,Taguisa,36,PH,1535003061,76,6.7,124.04,81.13,3.71
191,Parsabad,0,AZ,1535003062,53,39.65,47.92,82.03,4.72
192,Sibolga,76,ID,1535003062,89,1.74,98.78,75.46,3.15
193,Konevo,0,BG,1535003062,48,41.67,25.61,72.85,7.18
194,Leningradskiy,88,RU,1535002822,89,69.38,178.42,43.33,10.87
195,Norman Wells,90,CA,1535000400,70,65.28,-126.83,42.8,10.29
196,Keuruu,75,FI,1535001600,82,62.26,24.71,62.6,13.87
197,Vetlanda,0,SE,1535001600,82,57.43,15.09,60.8,5.82
198,Esperance,75,TT,1535000400,100,10.24,-61.45,75.2,5.17
199,Derzhavinsk,0,KZ,1535003064,41,51.1,66.31,79.87,9.86
200,Playa Vicente,76,MX,1535003064,94,17.83,-95.81,72.58,4.83
201,Marsaxlokk,20,MT,1535001300,83,35.84,14.54,75.2,8.05
202,Richards Bay,92,ZA,1535003064,99,-28.77,32.06,66.73,4.72
203,Inirida,56,CO,1535003064,97,3.87,-67.92,72.31,0.92
204,Ketchikan,75,US,1535000160,90,55.34,-131.65,57.02,4.7
205,Ornskoldsvik,0,SE,1535001600,87,63.29,18.72,53.6,6.93
206,Kindberg,0,AT,1535001600,93,47.51,15.45,62.6,2.24
207,Aklavik,75,CA,1535000400,56,68.22,-135.01,42.8,4.7
208,Kuusamo,90,FI,1535001600,100,65.96,29.19,46.4,10.29
209,Kahului,75,US,1535000160,96,20.89,-156.47,77.0,16.11
210,Karwar,92,IN,1535003066,99,14.8,74.13,73.48,4.38
211,Lagoa,0,PT,1535000400,49,37.14,-8.45,73.4,4.7
212,Tiksi,92,RU,1535003066,95,71.64,128.87,46.93,9.53
213,Evensk,0,RU,1535003067,80,61.92,159.24,58.9,2.04
214,Mercedes,0,UY,1535003067,98,-33.25,-58.03,47.56,10.98
215,Ballina,75,IE,1535002200,100,54.11,-9.15,51.8,6.93
216,Pangnirtung,92,CA,1535003068,88,66.15,-65.72,42.52,13.44
217,Batagay-Alyta,92,RU,1535003068,89,67.8,130.41,55.12,4.38
218,Vilcun,92,CL,1535003068,98,-38.65,-72.23,37.21,6.96
219,Serebryansk,75,KZ,1535000400,53,49.68,83.3,71.6,11.18
220,Sindor,92,RU,1535003069,93,62.87,51.9,52.42,6.17
221,Cabedelo,20,BR,1535000400,88,-6.97,-34.84,69.8,5.82
222,Tura,88,IN,1535003069,97,25.52,90.21,81.58,3.27
223,Taoudenni,88,ML,1535003069,39,22.68,-3.98,87.16,9.64
224,Salalah,90,OM,1534999800,100,17.01,54.1,73.4,2.71
225,Nioro,80,GM,1535003070,99,13.79,-15.05,72.58,7.74
226,Ilulissat,92,GL,1534999800,86,69.22,-51.1,39.2,5.82
227,Port Lincoln,100,AU,1535003070,100,-34.72,135.86,54.13,6.29
228,Belaya Gora,0,RU,1535003071,61,68.54,146.19,59.71,8.75
229,Ossora,56,RU,1535003071,97,59.24,163.07,55.03,6.62
230,Vila Velha,40,BR,1535000400,83,-3.71,-38.6,78.8,3.36
231,Pimentel,8,BR,1535003071,75,-3.7,-45.5,75.46,5.61
232,Airai,44,TL,1535003072,44,-8.93,125.41,83.02,1.03
233,Hirara,75,JP,1535000400,79,24.8,125.28,87.8,20.8
234,Ambilobe,32,MG,1535003072,49,-13.19,49.05,80.59,10.31
235,Ugoofaaru,12,MV,1535003072,98,5.67,73.0,83.11,14.23
236,Mount Gambier,44,AU,1535003073,70,-37.83,140.78,58.99,4.94
237,Gusau,64,NG,1535003073,97,12.17,6.66,70.24,7.74
238,San Javier,0,ES,1535002200,83,37.81,-0.83,69.8,5.82
239,Conde,68,BR,1535003073,100,-11.81,-37.61,73.39,7.29
240,Dhemaji,75,IN,1535000400,89,27.48,94.56,84.2,4.7
241,Provideniya,75,RU,1535000400,76,64.42,-173.23,51.8,11.18
242,Alyangula,0,AU,1535003074,77,-13.85,136.42,80.59,8.97
243,Virden,0,CA,1535003074,55,49.85,-100.93,64.39,8.63
244,Kilindoni,0,TZ,1535003075,94,-7.91,39.67,78.43,6.96
245,Nome,1,US,1535001300,68,30.04,-94.42,82.04,3.36
246,Ust-Omchug,0,RU,1535003075,32,61.13,149.63,68.71,3.38
247,The Woodlands,90,US,1535002500,88,30.17,-95.5,84.02,5.82
248,Cayenne,0,GF,1535000400,100,4.94,-52.33,73.4,7.63
249,Whitehorse,90,CA,1535000400,93,60.72,-135.06,51.8,2.24
250,Luderitz,0,NA,1535003076,93,-26.65,15.16,48.1,16.02
251,Vao,24,EE,1535003076,73,59.1,26.19,63.49,13.33
252,Meiganga,92,CM,1535003076,91,6.52,14.29,64.75,3.27
253,Ciudad Bolivar,76,VE,1535002821,87,8.12,-63.55,75.91,11.88
254,Isangel,88,VU,1535003077,100,-19.55,169.27,69.7,17.81
255,Port-Gentil,75,GA,1535000400,94,-0.72,8.78,73.4,9.19
256,Santa Barbara,1,US,1535000220,75,34.42,-119.7,69.08,3.36
257,Santiago,40,CL,1535000400,93,-33.44,-70.65,41.0,4.7
258,Shingu,75,JP,1535000400,88,33.72,135.99,80.6,24.16
259,Troitsko-Pechorsk,64,RU,1535003079,86,62.71,56.19,54.4,3.49
260,Kalmunai,48,LK,1535003079,56,7.42,81.82,91.39,3.71
261,Walvis Bay,0,NA,1535003079,100,-22.95,14.51,52.33,8.19
262,Marshfield,1,US,1535001300,100,42.09,-70.71,71.06,7.63
263,Harper,40,US,1535001300,49,30.3,-99.24,84.02,7.96
264,Tuatapere,92,NZ,1535003080,100,-46.13,167.69,46.21,9.42
265,Uyuni,0,BO,1535003080,47,-20.46,-66.82,17.14,4.94
266,Kaeo,0,NZ,1535002882,72,-35.1,173.78,52.06,10.65
267,Bolshaya Martynovka,0,RU,1535003080,34,47.27,41.67,73.84,13.0
268,Rio Grande,92,BR,1535003080,100,-32.03,-52.1,53.41,8.97
269,Stavrovo,20,RU,1535003081,71,56.13,40.01,57.82,9.86
270,Sitka,64,US,1535003081,94,37.17,-99.65,67.0,15.46
271,Dunedin,92,NZ,1535003081,99,-45.87,170.5,41.71,3.27
272,Emerald,0,AU,1535002835,21,-23.53,148.16,79.96,8.52
273,Lundazi,0,ZM,1535003082,61,-12.29,33.17,68.08,12.66
274,Lisala,92,CD,1535003082,99,2.15,21.52,67.72,4.16
275,Ostrovnoy,8,RU,1535003082,94,68.05,39.51,48.91,11.77
276,Sao Filipe,100,CV,1535003082,100,14.9,-24.5,76.0,10.76
277,Ambon,90,FR,1535002200,93,47.55,-2.56,62.6,3.36
278,Sedhiou,92,SN,1535003083,100,12.71,-15.56,70.78,4.83
279,Maungaturoto,76,NZ,1535003083,100,-36.11,174.36,54.94,15.01
280,Karratha,0,AU,1535002874,9,-20.74,116.85,83.38,13.11
281,Viking,0,CA,1535003083,68,53.1,-111.78,58.63,4.05
282,Belmonte,0,PT,1535002858,77,40.36,-7.35,59.35,2.71
283,Cherskiy,0,RU,1535002864,68,68.75,161.3,49.99,3.15
284,Milton,1,US,1535002500,82,44.64,-73.11,64.94,3.36
285,Hobyo,48,SO,1535003084,68,5.35,48.53,78.61,16.02
286,Kolomna,0,RU,1535000400,66,55.09,38.77,53.6,6.71
287,Weiden,0,DE,1535001600,82,49.81,7.3,62.6,1.12
288,Mana,40,RS,1535002200,100,43.52,20.24,64.4,1.12
289,Silifke,0,TR,1535003085,60,36.38,33.93,80.77,3.38
290,Makakilo City,1,US,1535000160,67,21.35,-158.09,82.04,6.93
291,Sao Joao da Barra,80,BR,1535003086,97,-21.64,-41.05,73.39,16.91
292,Herat,0,AF,1535000100,19,34.35,62.22,80.6,12.75
293,Makhinjauri,20,GE,1535000400,83,41.67,41.69,75.2,8.05
294,Bambanglipuro,8,ID,1535003086,72,-7.95,110.28,81.31,5.61
295,Shelton,90,US,1535002500,83,47.22,-123.1,62.06,12.75
296,Nacala,80,MZ,1535003087,92,-14.56,40.69,76.27,9.42
297,Vidim,0,CZ,1535002200,63,50.47,14.53,66.2,2.24
298,Thongwa,90,MM,1535002200,74,16.76,96.52,86.0,8.05
299,Saint Anthony,1,US,1535000160,82,43.97,-111.68,53.96,9.17
300,Nola,92,CF,1535003088,96,3.52,16.05,67.99,2.48
301,Gimli,0,CA,1535003088,46,50.63,-96.99,68.62,12.44
302,Torbay,90,CA,1535002860,93,47.66,-52.73,66.2,9.17
303,Constitucion,32,MX,1535003089,55,23.99,-104.67,67.0,7.4
304,Grindavik,75,IS,1535000400,93,63.84,-22.43,48.2,4.7
305,Kruisfontein,8,ZA,1535003089,92,-34.0,24.73,55.66,14.0
306,Paamiut,68,GL,1535002847,96,61.99,-49.67,41.44,11.77
307,Marzuq,0,YE,1535003090,19,14.4,46.47,88.78,3.38
308,Husavik,0,CA,1535002803,46,50.56,-96.99,68.62,12.44
309,Upernavik,20,GL,1535003090,94,72.79,-56.15,40.18,5.17
310,Shadrinsk,0,RU,1535003091,69,56.09,63.63,70.15,6.51
311,Merauke,80,ID,1535003091,77,-8.49,140.4,83.74,10.42
312,Nevers,0,FR,1535002200,77,46.99,3.16,64.4,3.36
313,Batemans Bay,36,AU,1535003091,78,-35.71,150.18,55.84,4.94
314,San Julian,75,SV,1534999800,94,13.7,-89.56,75.2,2.24
315,Lima,20,PE,1535003031,80,-12.06,-77.04,55.84,2.71
316,Ostashkov,8,RU,1535003092,78,57.14,33.12,59.08,9.75
317,Medicine Hat,1,CA,1535000400,36,50.04,-110.68,62.6,4.7
318,Bacum,36,MX,1535003093,87,27.55,-110.08,80.14,2.15
319,Babu,88,CN,1535003093,82,23.23,104.89,74.83,3.38
320,Montepuez,12,MZ,1535003093,58,-13.13,39.0,72.58,4.5
321,Palmer,75,US,1535000160,89,61.6,-149.11,59.0,4.7
322,Doka,56,SD,1535003094,87,13.52,35.76,75.82,7.96
323,Nishihara,75,JP,1535000400,66,35.74,139.53,89.6,13.87
324,Rawlins,90,US,1535001000,80,41.79,-107.24,55.94,8.05
325,Wanlaweyn,92,SO,1535003094,70,2.62,44.89,78.52,9.86
326,Sakaiminato,75,JP,1535000400,66,35.55,133.23,89.6,12.75
327,Saint-Pierre,0,FR,1535002200,88,48.95,4.24,62.6,5.82
328,Yangjiang,20,CN,1535003095,100,21.85,111.96,83.38,8.3
329,Nenjiang,8,CN,1535003096,81,49.17,125.23,76.09,4.5
330,Valparaiso,1,US,1535001300,97,41.47,-87.06,64.04,5.95
331,La Ronge,75,CA,1535000400,76,55.1,-105.3,53.6,19.46
332,Ust-Tsilma,32,RU,1535003096,81,65.44,52.15,56.2,4.05
333,Nouadhibou,12,MR,1535000400,88,20.93,-17.03,68.0,12.75
334,Letlhakane,0,BW,1535003097,40,-21.42,25.59,59.44,6.62
335,Khani,75,GE,1535000400,83,41.96,42.96,73.4,4.7
336,Atbasar,0,KZ,1535003097,55,51.81,68.36,75.82,9.75
337,Kampot,56,KH,1535003098,74,10.62,104.18,85.9,14.67
338,Gladstone,0,AU,1535003098,54,-23.84,151.26,71.23,8.41
339,Perevolotskiy,12,RU,1535003098,73,51.88,54.19,62.68,11.99
340,Calatayud,8,ES,1535002200,82,41.35,-1.64,69.8,1.12
341,Seoul,75,KR,1535002200,58,37.57,126.98,91.76,14.99
342,Kidal,8,ML,1535003099,69,18.44,1.41,78.16,7.85
343,Marawi,64,PH,1535003099,60,8.0,124.29,81.58,2.93
344,Punta de Bombon,88,PE,1535003099,100,-17.17,-71.79,60.34,9.98
345,Manzil Salim,0,TN,1535000400,87,35.86,8.48,60.8,2.82
346,Biu,76,NG,1535003100,97,10.61,12.19,69.88,7.18
347,Eureka,90,US,1535000100,89,40.8,-124.16,59.0,2.59
348,Siddipet,80,IN,1535003100,77,18.1,78.85,81.31,18.92
349,Zhongshu,88,CN,1535003100,83,24.52,103.77,70.96,5.73
350,Chabahar,8,IR,1535003100,97,25.29,60.65,85.18,6.85
351,Novo Aripuana,12,BR,1535003101,85,-5.12,-60.38,75.55,1.25
352,Butembo,92,CD,1535003101,94,0.12,29.29,63.85,2.93
353,Lompoc,1,US,1535002500,82,34.64,-120.46,62.06,3.36
354,Baft,0,IR,1535003101,12,29.23,56.61,78.79,8.41
355,Vozuca,0,BA,1535002200,93,44.36,18.36,62.6,2.24
356,Veraval,90,FR,1535002200,82,49.65,0.71,64.4,8.05
357,Dvinskoy,0,RU,1535003102,70,62.16,45.12,51.61,10.54
358,Port Blair,44,IN,1535003102,93,11.67,92.75,84.19,17.25
359,Weston,75,US,1535000160,78,41.2,-73.38,73.94,3.36
360,Muisne,64,EC,1535003103,96,0.61,-80.02,71.23,4.72
361,Nanfeng,88,CN,1535003103,81,27.22,116.52,83.74,4.5
362,Grants Pass,75,US,1535000160,52,42.44,-123.33,82.04,6.93
363,Nyaunglebin,92,MM,1535003105,100,17.95,96.73,75.91,5.73
364,Locri,75,IT,1535000100,83,38.24,16.26,71.6,4.7
365,Arroyo,1,US,1535000040,96,41.39,-78.88,59.0,5.82
366,Hereford,56,GB,1535003106,99,52.06,-2.72,59.53,8.3
367,Macheng,68,CN,1535003106,70,31.18,115.03,82.3,8.75
368,Tazovskiy,0,RU,1535003106,56,67.47,78.7,68.98,15.12
369,Tyrma,36,RU,1535003106,74,50.04,132.17,71.59,3.6
370,Biloela,0,AU,1535003107,28,-24.4,150.51,72.58,6.17
371,Chibombo,0,ZM,1535003107,40,-14.68,28.09,66.28,11.77
372,Russell,0,AR,1535000400,52,-33.01,-68.8,44.6,3.36
373,Port Keats,0,AU,1535003108,42,-14.25,129.55,87.43,3.71
